"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,0,0,2005
"2","Thane","Thane","February",1,NA,NA,2005
"3","Thane","Thane","March",1.1,NA,NA,2005
"4","Thane","Thane","April",1.7,NA,NA,2005
"5","Thane","Thane","May",21.4,0,0,2005
"6","Thane","Thane","June",534.8,653.7,11,2005
"7","Thane","Thane","July",961.6,1371.7,23,2005
"8","Thane","Thane","August",637.2,704.1,24,2005
"9","Thane","Thane","September",334.4,646.1,21,2005
"10","Thane","Thane","October",101.1,64.3,5,2005
"11","Thane","Thane","November",15.1,NA,NA,2005
"12","Thane","Thane","December",2.4,NA,NA,2005
"13","Thane","Kalyan","January",1.7,0,0,2005
"14","Thane","Kalyan","February",1.2,NA,NA,2005
"15","Thane","Kalyan","March",0.4,NA,NA,2005
"16","Thane","Kalyan","April",1.3,NA,NA,2005
"17","Thane","Kalyan","May",13.2,0,0,2005
"18","Thane","Kalyan","June",476.8,742,12,2005
"19","Thane","Kalyan","July",1023.4,1570,22,2005
"20","Thane","Kalyan","August",652.7,912,25,2005
"21","Thane","Kalyan","September",301.7,763,22,2005
"22","Thane","Kalyan","October",90.6,25,6,2005
"23","Thane","Kalyan","November",16.3,NA,NA,2005
"24","Thane","Kalyan","December",2.8,NA,NA,2005
"25","Thane","Murbad","January",2.1,0,0,2005
"26","Thane","Murbad","February",0.8,NA,NA,2005
"27","Thane","Murbad","March",0.9,NA,NA,2005
"28","Thane","Murbad","April",3.5,NA,NA,2005
"29","Thane","Murbad","May",17.8,0,0,2005
"30","Thane","Murbad","June",378.3,704.1,13,2005
"31","Thane","Murbad","July",968.9,2075.3,26,2005
"32","Thane","Murbad","August",634.3,1731.6,26,2005
"33","Thane","Murbad","September",347.1,1390.9,22,2005
"34","Thane","Murbad","October",103.2,56.4,3,2005
"35","Thane","Murbad","November",20.3,NA,NA,2005
"36","Thane","Murbad","December",3.2,NA,NA,2005
"37","Thane","Bhivandi","January",2.6,0,0,2005
"38","Thane","Bhivandi","February",1.2,NA,NA,2005
"39","Thane","Bhivandi","March",0.9,NA,NA,2005
"40","Thane","Bhivandi","April",1.4,NA,NA,2005
"41","Thane","Bhivandi","May",18.7,0,0,2005
"42","Thane","Bhivandi","June",471.7,634.6,12,2005
"43","Thane","Bhivandi","July",965.8,1602,24,2005
"44","Thane","Bhivandi","August",646.4,662.6,24,2005
"45","Thane","Bhivandi","September",337.6,682.8,20,2005
"46","Thane","Bhivandi","October",94.8,58.4,2,2005
"47","Thane","Bhivandi","November",10.7,NA,NA,2005
"48","Thane","Bhivandi","December",2.3,NA,NA,2005
"49","Thane","Shahapur","January",2.5,0,0,2005
"50","Thane","Shahapur","February",1,NA,NA,2005
"51","Thane","Shahapur","March",1.9,NA,NA,2005
