"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,0,0,2017
"2","Thane","Thane","February",1,0,0,2017
"3","Thane","Thane","March",1.1,0,0,2017
"4","Thane","Thane","April",1.7,0,0,2017
"5","Thane","Thane","May",21.4,0,0,2017
"6","Thane","Thane","June",534.8,684,17,2017
"7","Thane","Thane","July",961.6,1087,31,2017
"8","Thane","Thane","August",637.2,846.4,25,2017
"9","Thane","Thane","September",334.4,419.2,13,2017
"10","Thane","Thane","October",101.1,99.2,7,2017
"11","Thane","Thane","November",15.1,0,0,2017
"12","Thane","Thane","December",2.4,29.4,2,2017
"13","Thane","Kalyan","January",1.7,0,0,2017
"14","Thane","Kalyan","February",1.2,0,0,2017
"15","Thane","Kalyan","March",0.4,0,0,2017
"16","Thane","Kalyan","April",1.3,0,0,2017
"17","Thane","Kalyan","May",13.2,0,0,2017
"18","Thane","Kalyan","June",476.8,684.7,17,2017
"19","Thane","Kalyan","July",1023.4,1175.1,28,2017
"20","Thane","Kalyan","August",652.7,965.7,25,2017
"21","Thane","Kalyan","September",301.7,454.6,14,2017
"22","Thane","Kalyan","October",90.6,123.5,8,2017
"23","Thane","Kalyan","November",16.3,0,0,2017
"24","Thane","Kalyan","December",2.8,17.4,2,2017
"25","Thane","Murbad","January",2.1,0,0,2017
"26","Thane","Murbad","February",0.8,0,0,2017
"27","Thane","Murbad","March",0.9,0,0,2017
"28","Thane","Murbad","April",3.5,0,0,2017
"29","Thane","Murbad","May",17.8,0,0,2017
"30","Thane","Murbad","June",378.3,757.4,22,2017
"31","Thane","Murbad","July",968.9,1367.2,31,2017
"32","Thane","Murbad","August",634.3,787.9,29,2017
"33","Thane","Murbad","September",347.1,495.8,19,2017
"34","Thane","Murbad","October",103.2,202.4,9,2017
"35","Thane","Murbad","November",20.3,0,0,2017
"36","Thane","Murbad","December",3.2,10.6,2,2017
"37","Thane","Bhivandi","January",2.6,0,0,2017
"38","Thane","Bhivandi","February",1.2,0,0,2017
"39","Thane","Bhivandi","March",0.9,0,0,2017
"40","Thane","Bhivandi","April",1.4,0,0,2017
"41","Thane","Bhivandi","May",18.7,1.3,0,2017
"42","Thane","Bhivandi","June",471.7,604.6,16,2017
"43","Thane","Bhivandi","July",965.8,1146.7,25,2017
"44","Thane","Bhivandi","August",646.4,811.7,21,2017
"45","Thane","Bhivandi","September",337.6,380.7,12,2017
"46","Thane","Bhivandi","October",94.8,224.1,6,2017
"47","Thane","Bhivandi","November",10.7,0,0,2017
"48","Thane","Bhivandi","December",2.3,27.3,2,2017
"49","Thane","Shahapur","January",2.5,0,0,2017
"50","Thane","Shahapur","February",1,0,0,2017
"51","Thane","Shahapur","March",1.9,0,0,2017
"52","Thane","Shahapur","April",1.7,0,0,2017
"53","Thane","Shahapur","May",18.2,0,0,2017
"54","Thane","Shahapur","June",412.7,752.6,20,2017
"55","Thane","Shahapur","July",1102.4,1233,31,2017
"56","Thane","Shahapur","August",703.2,871,28,2017
"57","Thane","Shahapur","September",338.1,346.6,15,2017
"58","Thane","Shahapur","October",95.2,172.9,11,2017
"59","Thane","Shahapur","November",15.8,0,0,2017
"60","Thane","Shahapur","December",2.9,11.3,2,2017
"61","Thane","Ulhasnagar","January",1.7,0,0,2017
"62","Thane","Ulhasnagar","February",1.2,0,0,2017
"63","Thane","Ulhasnagar","March",0.4,0,0,2017
"64","Thane","Ulhasnagar","April",1.3,0,0,2017
"65","Thane","Ulhasnagar","May",13.2,0,0,2017
"66","Thane","Ulhasnagar","June",457,690,13,2017
"67","Thane","Ulhasnagar","July",1001.4,1250,29,2017
"68","Thane","Ulhasnagar","August",604.3,1091,25,2017
"69","Thane","Ulhasnagar","September",301.9,686,15,2017
"70","Thane","Ulhasnagar","October",90.6,147,7,2017
"71","Thane","Ulhasnagar","November",16.3,0,0,2017
"72","Thane","Ulhasnagar","December",2.8,27,2,2017
"73","Thane","Ambarnath","January",1.7,0,0,2017
"74","Thane","Ambarnath","February",1.2,0,0,2017
"75","Thane","Ambarnath","March",0.4,0,0,2017
"76","Thane","Ambarnath","April",1.3,0,0,2017
"77","Thane","Ambarnath","May",13.2,0,0,2017
"78","Thane","Ambarnath","June",457,638.3,15,2017
"79","Thane","Ambarnath","July",1001.4,1270.2,31,2017
"80","Thane","Ambarnath","August",604.3,959.1,25,2017
"81","Thane","Ambarnath","September",301.9,518.4,16,2017
"82","Thane","Ambarnath","October",90.6,145.2,10,2017
"83","Thane","Ambarnath","November",16.3,0.3,0,2017
"84","Thane","Ambarnath","December",2.8,21.2,2,2017
"85","Raigadh","Alibag","January",1.7,0,0,2017
"86","Raigadh","Alibag","February",2,0,0,2017
"87","Raigadh","Alibag","March",0.2,0,0,2017
"88","Raigadh","Alibag","April",1.8,0,0,2017
"89","Raigadh","Alibag","May",17,0,0,2017
"90","Raigadh","Alibag","June",540.8,793,15,2017
"91","Raigadh","Alibag","July",723,908.8,29,2017
"92","Raigadh","Alibag","August",479.4,740,26,2017
"93","Raigadh","Alibag","September",313.1,450.1,14,2017
"94","Raigadh","Alibag","October",74.8,55.2,7,2017
"95","Raigadh","Alibag","November",20.4,0,0,2017
"96","Raigadh","Alibag","December",3,27.3,2,2017
"97","Raigadh","Panwel","January",0.9,0,0,2017
"98","Raigadh","Panwel","February",0.8,0,0,2017
"99","Raigadh","Panwel","March",0.5,0,0,2017
"100","Raigadh","Panwel","April",1.8,0,0,2017
"101","Raigadh","Panwel","May",15.9,0,0,2017
"102","Raigadh","Panwel","June",567.5,634.6,15,2017
"103","Raigadh","Panwel","July",1128.9,938.6,31,2017
"104","Raigadh","Panwel","August",790.4,811.1,25,2017
"105","Raigadh","Panwel","September",402,495.1,15,2017
"106","Raigadh","Panwel","October",94.5,109.9,8,2017
"107","Raigadh","Panwel","November",15.3,0,0,2017
"108","Raigadh","Panwel","December",2.5,16.7,2,2017
"109","Raigadh","Karjat","January",1.1,0,0,2017
"110","Raigadh","Karjat","February",0.5,0,0,2017
