"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,NA,NA,2015
"2","Thane","Thane","February",1,NA,NA,2015
"3","Thane","Thane","March",1.1,8.7,2,2015
"4","Thane","Thane","April",1.7,0,0,2015
"5","Thane","Thane","May",21.4,0,0,2015
"6","Thane","Thane","June",534.8,788.8,17,2015
"7","Thane","Thane","July",961.6,633.3,20,2015
"8","Thane","Thane","August",637.2,267.1,26,2015
"9","Thane","Thane","September",334.4,244.2,11,2015
"10","Thane","Thane","October",101.1,38.7,3,2015
"11","Thane","Thane","November",15.1,1.3,0,2015
"12","Thane","Thane","December",2.4,0,0,2015
"13","Thane","Kalyan","January",1.7,NA,NA,2015
"14","Thane","Kalyan","February",1.2,NA,NA,2015
"15","Thane","Kalyan","March",0.4,16.2,2,2015
"16","Thane","Kalyan","April",1.3,NA,NA,2015
"17","Thane","Kalyan","May",13.2,0,0,2015
"18","Thane","Kalyan","June",476.8,531.4,17,2015
"19","Thane","Kalyan","July",1023.4,688.7,18,2015
"20","Thane","Kalyan","August",652.7,234.6,21,2015
"21","Thane","Kalyan","September",301.7,268,12,2015
"22","Thane","Kalyan","October",90.6,86.3,6,2015
"23","Thane","Kalyan","November",16.3,26,2,2015
"24","Thane","Kalyan","December",2.8,NA,NA,2015
"25","Thane","Murbad","January",2.1,NA,NA,2015
"26","Thane","Murbad","February",0.8,NA,NA,2015
"27","Thane","Murbad","March",0.9,35.2,2,2015
"28","Thane","Murbad","April",3.5,NA,NA,2015
"29","Thane","Murbad","May",17.8,0,0,2015
"30","Thane","Murbad","June",378.3,356.1,19,2015
"31","Thane","Murbad","July",968.9,598.4,22,2015
"32","Thane","Murbad","August",634.3,334.1,28,2015
"33","Thane","Murbad","September",347.1,333.4,16,2015
"34","Thane","Murbad","October",103.2,76.8,4,2015
"35","Thane","Murbad","November",20.3,78.4,2,2015
"36","Thane","Murbad","December",3.2,NA,NA,2015
"37","Thane","Bhivandi","January",2.6,NA,NA,2015
"38","Thane","Bhivandi","February",1.2,NA,NA,2015
"39","Thane","Bhivandi","March",0.9,17.9,2,2015
"40","Thane","Bhivandi","April",1.4,NA,NA,2015
"41","Thane","Bhivandi","May",18.7,0,0,2015
"42","Thane","Bhivandi","June",471.7,459.3,18,2015
"43","Thane","Bhivandi","July",965.8,678.5,15,2015
"44","Thane","Bhivandi","August",646.4,260.5,23,2015
"45","Thane","Bhivandi","September",337.6,203.2,11,2015
"46","Thane","Bhivandi","October",94.8,82.4,4,2015
"47","Thane","Bhivandi","November",10.7,5.6,1,2015
"48","Thane","Bhivandi","December",2.3,NA,NA,2015
"49","Thane","Shahapur","January",2.5,NA,NA,2015
"50","Thane","Shahapur","February",1,NA,NA,2015
"51","Thane","Shahapur","March",1.9,14.6,2,2015
"52","Thane","Shahapur","April",1.7,NA,NA,2015
"53","Thane","Shahapur","May",18.2,0,0,2015
"54","Thane","Shahapur","June",412.7,500.7,18,2015
"55","Thane","Shahapur","July",1102.4,802.2,22,2015
"56","Thane","Shahapur","August",703.2,269.7,28,2015
"57","Thane","Shahapur","September",338.1,290,14,2015
"58","Thane","Shahapur","October",95.2,111.2,7,2015
"59","Thane","Shahapur","November",15.8,43.1,2,2015
"60","Thane","Shahapur","December",2.9,NA,NA,2015
"61","Thane","Ulhasnagar","January",1.7,NA,NA,2015
"62","Thane","Ulhasnagar","February",1.2,NA,NA,2015
"63","Thane","Ulhasnagar","March",0.4,16,2,2015
"64","Thane","Ulhasnagar","April",1.3,NA,NA,2015
"65","Thane","Ulhasnagar","May",13.2,0,0,2015
"66","Thane","Ulhasnagar","June",457,567.4,16,2015
"67","Thane","Ulhasnagar","July",1001.4,740,17,2015
"68","Thane","Ulhasnagar","August",604.3,209,19,2015
"69","Thane","Ulhasnagar","September",301.9,235,10,2015
"70","Thane","Ulhasnagar","October",90.6,70,3,2015
"71","Thane","Ulhasnagar","November",16.3,56,2,2015
"72","Thane","Ulhasnagar","December",2.8,NA,NA,2015
"73","Thane","Ambarnath","January",1.7,NA,NA,2015
"74","Thane","Ambarnath","February",1.2,NA,NA,2015
"75","Thane","Ambarnath","March",0.4,30,2,2015
"76","Thane","Ambarnath","April",1.3,10,1,2015
"77","Thane","Ambarnath","May",13.2,9.4,1,2015
"78","Thane","Ambarnath","June",457,442.2,15,2015
"79","Thane","Ambarnath","July",1001.4,700.3,19,2015
"80","Thane","Ambarnath","August",604.3,290.1,23,2015
"81","Thane","Ambarnath","September",301.9,289.6,13,2015
"82","Thane","Ambarnath","October",90.6,92.3,7,2015
"83","Thane","Ambarnath","November",16.3,38.1,2,2015
"84","Thane","Ambarnath","December",2.8,NA,NA,2015
"85","Raigadh","Alibag","January",1.7,NA,NA,2015
"86","Raigadh","Alibag","February",2,NA,NA,2015
"87","Raigadh","Alibag","March",0.2,12.1,1,2015
"88","Raigadh","Alibag","April",1.8,NA,NA,2015
"89","Raigadh","Alibag","May",17,0,0,2015
"90","Raigadh","Alibag","June",540.8,681.3,15,2015
"91","Raigadh","Alibag","July",723,307.8,16,2015
"92","Raigadh","Alibag","August",479.4,218.7,22,2015
"93","Raigadh","Alibag","September",313.1,129.1,12,2015
"94","Raigadh","Alibag","October",74.8,50.8,3,2015
"95","Raigadh","Alibag","November",20.4,0,0,2015
"96","Raigadh","Alibag","December",3,NA,NA,2015
"97","Raigadh","Panwel","January",0.9,NA,NA,2015
"98","Raigadh","Panwel","February",0.8,NA,NA,2015
"99","Raigadh","Panwel","March",0.5,14,1,2015
"100","Raigadh","Panwel","April",1.8,NA,NA,2015
"101","Raigadh","Panwel","May",15.9,12,1,2015
"102","Raigadh","Panwel","June",567.5,664.8,18,2015
"103","Raigadh","Panwel","July",1128.9,472.9,19,2015
"104","Raigadh","Panwel","August",790.4,240.1,26,2015
"105","Raigadh","Panwel","September",402,135,13,2015
"106","Raigadh","Panwel","October",94.5,48.7,5,2015
"107","Raigadh","Panwel","November",15.3,49.5,2,2015
"108","Raigadh","Panwel","December",2.5,NA,NA,2015
"109","Raigadh","Karjat","January",1.1,NA,NA,2015
"110","Raigadh","Karjat","February",0.5,NA,NA,2015
"111","Raigadh","Karjat","March",1.6,19.9,2,2015
"112","Raigadh","Karjat","April",2.8,NA,NA,2015
"113","Raigadh","Karjat","May",19.3,13.4,1,2015
"114","Raigadh","Karjat","June",548.7,530.7,13,2015
"115","Raigadh","Karjat","July",1378.2,683,23,2015
"116","Raigadh","Karjat","August",937.6,264.3,28,2015
"117","Raigadh","Karjat","September",436,369.7,15,2015
"118","Raigadh","Karjat","October",131.4,81.9,5,2015
"119","Raigadh","Karjat","November",19.9,3.4,1,2015
"120","Raigadh","Karjat","December",2.4,NA,NA,2015
"121","Raigadh","Khalapur","January",0.1,NA,NA,2015
"122","Raigadh","Khalapur","February",0.1,NA,NA,2015
"123","Raigadh","Khalapur","March",0.1,25.4,2,2015
"124","Raigadh","Khalapur","April",1.5,NA,NA,2015
"125","Raigadh","Khalapur","May",26.5,0,0,2015
"126","Raigadh","Khalapur","June",563.4,685.3,14,2015
"127","Raigadh","Khalapur","July",1302.2,663.2,21,2015
"128","Raigadh","Khalapur","August",1026.1,309.5,26,2015
"129","Raigadh","Khalapur","September",458.5,253.2,12,2015
"130","Raigadh","Khalapur","October",142,83.7,6,2015
"131","Raigadh","Khalapur","November",7.8,10,1,2015
"132","Raigadh","Khalapur","December",8,NA,NA,2015
"133","Raigadh","Uran","January",1.6,NA,NA,2015
"134","Raigadh","Uran","February",1.7,NA,NA,2015
"135","Raigadh","Uran","March",1,4.7,1,2015
"136","Raigadh","Uran","April",1.1,NA,NA,2015
"137","Raigadh","Uran","May",14.8,0,0,2015
"138","Raigadh","Uran","June",524.2,816.9,15,2015
"139","Raigadh","Uran","July",762.4,310.9,19,2015
"140","Raigadh","Uran","August",486.6,163.2,21,2015
"141","Raigadh","Uran","September",306.3,90.5,11,2015
"142","Raigadh","Uran","October",71.7,81.3,4,2015
"143","Raigadh","Uran","November",11.7,1,0,2015
"144","Raigadh","Uran","December",1.6,NA,NA,2015
"145","Raigadh","Sudhagad","January",0.1,NA,NA,2015
"146","Raigadh","Sudhagad","February",0.1,NA,NA,2015
"147","Raigadh","Sudhagad","March",0.1,47,2,2015
"148","Raigadh","Sudhagad","April",2.3,NA,NA,2015
