"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,NA,NA,2006
"2","Thane","Thane","February",1,NA,NA,2006
"3","Thane","Thane","March",1.1,6.2,1,2006
"4","Thane","Thane","April",1.7,NA,NA,2006
"5","Thane","Thane","May",21.4,60,1,2006
"6","Thane","Thane","June",534.8,623.1,15,2006
"7","Thane","Thane","July",961.6,1211.6,29,2006
"8","Thane","Thane","August",637.2,873.1,29,2006
"9","Thane","Thane","September",334.4,319.4,13,2006
"10","Thane","Thane","October",101.1,81.6,3,2006
"11","Thane","Thane","November",15.1,0,0,2006
"12","Thane","Thane","December",2.4,NA,NA,2006
"13","Thane","Kalyan","January",1.7,NA,NA,2006
"14","Thane","Kalyan","February",1.2,NA,NA,2006
"15","Thane","Kalyan","March",0.4,6,1,2006
"16","Thane","Kalyan","April",1.3,NA,NA,2006
"17","Thane","Kalyan","May",13.2,62,1,2006
"18","Thane","Kalyan","June",476.8,607,15,2006
"19","Thane","Kalyan","July",1023.4,1326,30,2006
"20","Thane","Kalyan","August",652.7,1332,29,2006
"21","Thane","Kalyan","September",301.7,213,14,2006
"22","Thane","Kalyan","October",90.6,74,4,2006
"23","Thane","Kalyan","November",16.3,0,0,2006
"24","Thane","Kalyan","December",2.8,NA,NA,2006
"25","Thane","Murbad","January",2.1,NA,NA,2006
"26","Thane","Murbad","February",0.8,NA,NA,2006
"27","Thane","Murbad","March",0.9,22.3,2,2006
"28","Thane","Murbad","April",3.5,NA,NA,2006
"29","Thane","Murbad","May",17.8,0,0,2006
"30","Thane","Murbad","June",378.3,486.1,17,2006
"31","Thane","Murbad","July",968.9,1125.6,30,2006
"32","Thane","Murbad","August",634.3,1126.6,28,2006
"33","Thane","Murbad","September",347.1,355.6,14,2006
"34","Thane","Murbad","October",103.2,150.7,5,2006
"35","Thane","Murbad","November",20.3,0,0,2006
"36","Thane","Murbad","December",3.2,NA,NA,2006
"37","Thane","Bhivandi","January",2.6,NA,NA,2006
"38","Thane","Bhivandi","February",1.2,NA,NA,2006
"39","Thane","Bhivandi","March",0.9,0,0,2006
"40","Thane","Bhivandi","April",1.4,NA,NA,2006
"41","Thane","Bhivandi","May",18.7,48,1,2006
"42","Thane","Bhivandi","June",471.7,498,14,2006
"43","Thane","Bhivandi","July",965.8,1126.9,28,2006
"44","Thane","Bhivandi","August",646.4,906.3,28,2006
"45","Thane","Bhivandi","September",337.6,199.9,12,2006
"46","Thane","Bhivandi","October",94.8,108.5,4,2006
"47","Thane","Bhivandi","November",10.7,0,0,2006
"48","Thane","Bhivandi","December",2.3,NA,NA,2006
"49","Thane","Shahapur","January",2.5,NA,NA,2006
"50","Thane","Shahapur","February",1,NA,NA,2006
"51","Thane","Shahapur","March",1.9,7.8,1,2006
"52","Thane","Shahapur","April",1.7,NA,NA,2006
"53","Thane","Shahapur","May",18.2,29.2,1,2006
"54","Thane","Shahapur","June",412.7,422,15,2006
"55","Thane","Shahapur","July",1102.4,1444,31,2006
"56","Thane","Shahapur","August",703.2,1136.2,30,2006
"57","Thane","Shahapur","September",338.1,174.8,10,2006
"58","Thane","Shahapur","October",95.2,117,5,2006
"59","Thane","Shahapur","November",15.8,0,0,2006
"60","Thane","Shahapur","December",2.9,NA,NA,2006
"61","Thane","Ulhasnagar","January",1.7,NA,NA,2006
"62","Thane","Ulhasnagar","February",1.2,NA,NA,2006
"63","Thane","Ulhasnagar","March",0.4,0,0,2006
"64","Thane","Ulhasnagar","April",1.3,NA,NA,2006
"65","Thane","Ulhasnagar","May",13.2,20,1,2006
"66","Thane","Ulhasnagar","June",457,424.6,15,2006
"67","Thane","Ulhasnagar","July",1001.4,871.6,29,2006
"68","Thane","Ulhasnagar","August",604.3,854,28,2006
"69","Thane","Ulhasnagar","September",301.9,171.4,11,2006
"70","Thane","Ulhasnagar","October",90.6,76.5,5,2006
"71","Thane","Ulhasnagar","November",16.3,0,0,2006
"72","Thane","Ulhasnagar","December",2.8,NA,NA,2006
"73","Thane","Ambarnath","January",1.7,NA,NA,2006
"74","Thane","Ambarnath","February",1.2,NA,NA,2006
"75","Thane","Ambarnath","March",0.4,6.2,2,2006
