"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,NA,NA,2007
"2","Thane","Thane","February",1,NA,NA,2007
"3","Thane","Thane","March",1.1,NA,NA,2007
"4","Thane","Thane","April",1.7,NA,NA,2007
"5","Thane","Thane","May",21.4,NA,NA,2007
"6","Thane","Thane","June",534.8,703.5,17,2007
"7","Thane","Thane","July",961.6,1126.9,21,2007
"8","Thane","Thane","August",637.2,735.1,27,2007
"9","Thane","Thane","September",334.4,521.2,19,2007
"10","Thane","Thane","October",101.1,0,0,2007
"11","Thane","Thane","November",15.1,NA,NA,2007
"12","Thane","Thane","December",2.4,NA,NA,2007
"13","Thane","Kalyan","January",1.7,NA,NA,2007
"14","Thane","Kalyan","February",1.2,NA,NA,2007
"15","Thane","Kalyan","March",0.4,NA,NA,2007
"16","Thane","Kalyan","April",1.3,NA,NA,2007
"17","Thane","Kalyan","May",13.2,NA,NA,2007
"18","Thane","Kalyan","June",476.8,661,17,2007
"19","Thane","Kalyan","July",1023.4,792,17,2007
"20","Thane","Kalyan","August",652.7,850,25,2007
"21","Thane","Kalyan","September",301.7,352.3,17,2007
"22","Thane","Kalyan","October",90.6,0,0,2007
"23","Thane","Kalyan","November",16.3,NA,NA,2007
"24","Thane","Kalyan","December",2.8,NA,NA,2007
"25","Thane","Murbad","January",2.1,NA,NA,2007
"26","Thane","Murbad","February",0.8,NA,NA,2007
"27","Thane","Murbad","March",0.9,NA,NA,2007
"28","Thane","Murbad","April",3.5,NA,NA,2007
"29","Thane","Murbad","May",17.8,NA,NA,2007
"30","Thane","Murbad","June",378.3,450.2,17,2007
"31","Thane","Murbad","July",968.9,672.7,25,2007
"32","Thane","Murbad","August",634.3,987,25,2007
"33","Thane","Murbad","September",347.1,397.9,13,2007
"34","Thane","Murbad","October",103.2,0,0,2007
"35","Thane","Murbad","November",20.3,NA,NA,2007
"36","Thane","Murbad","December",3.2,NA,NA,2007
"37","Thane","Bhivandi","January",2.6,NA,NA,2007
"38","Thane","Bhivandi","February",1.2,NA,NA,2007
"39","Thane","Bhivandi","March",0.9,NA,NA,2007
"40","Thane","Bhivandi","April",1.4,NA,NA,2007
"41","Thane","Bhivandi","May",18.7,NA,NA,2007
"42","Thane","Bhivandi","June",471.7,560.6,15,2007
"43","Thane","Bhivandi","July",965.8,633,22,2007
"44","Thane","Bhivandi","August",646.4,856,25,2007
"45","Thane","Bhivandi","September",337.6,495,19,2007
"46","Thane","Bhivandi","October",94.8,0,0,2007
"47","Thane","Bhivandi","November",10.7,NA,NA,2007
"48","Thane","Bhivandi","December",2.3,NA,NA,2007
"49","Thane","Shahapur","January",2.5,NA,NA,2007
"50","Thane","Shahapur","February",1,NA,NA,2007
"51","Thane","Shahapur","March",1.9,NA,NA,2007
"52","Thane","Shahapur","April",1.7,NA,NA,2007
"53","Thane","Shahapur","May",18.2,NA,NA,2007
"54","Thane","Shahapur","June",412.7,451.2,16,2007
"55","Thane","Shahapur","July",1102.4,646.2,26,2007
"56","Thane","Shahapur","August",703.2,932.8,28,2007
"57","Thane","Shahapur","September",338.1,524,14,2007
"58","Thane","Shahapur","October",95.2,0,0,2007
"59","Thane","Shahapur","November",15.8,NA,NA,2007
"60","Thane","Shahapur","December",2.9,NA,NA,2007
"61","Thane","Ulhasnagar","January",1.7,NA,NA,2007
"62","Thane","Ulhasnagar","February",1.2,NA,NA,2007
"63","Thane","Ulhasnagar","March",0.4,NA,NA,2007
"64","Thane","Ulhasnagar","April",1.3,NA,NA,2007
"65","Thane","Ulhasnagar","May",13.2,NA,NA,2007
"66","Thane","Ulhasnagar","June",457,544.9,17,2007
"67","Thane","Ulhasnagar","July",1001.4,922.1,22,2007
"68","Thane","Ulhasnagar","August",604.3,847.1,25,2007
"69","Thane","Ulhasnagar","September",301.9,405.4,16,2007
"70","Thane","Ulhasnagar","October",90.6,0,0,2007
"71","Thane","Ulhasnagar","November",16.3,NA,NA,2007
"72","Thane","Ulhasnagar","December",2.8,NA,NA,2007
"73","Thane","Ambarnath","January",1.7,NA,NA,2007
"74","Thane","Ambarnath","February",1.2,NA,NA,2007
"75","Thane","Ambarnath","March",0.4,NA,NA,2007
"76","Thane","Ambarnath","April",1.3,NA,NA,2007
"77","Thane","Ambarnath","May",13.2,NA,NA,2007
"78","Thane","Ambarnath","June",457,353.4,16,2007
"79","Thane","Ambarnath","July",1001.4,445.3,21,2007
"80","Thane","Ambarnath","August",604.3,380.3,20,2007
"81","Thane","Ambarnath","September",301.9,186,13,2007
"82","Thane","Ambarnath","October",90.6,0,0,2007
"83","Thane","Ambarnath","November",16.3,NA,NA,2007
"84","Thane","Ambarnath","December",2.8,NA,NA,2007
"85","Raigadh","Alibag","January",1.7,NA,NA,2007
"86","Raigadh","Alibag","February",2,NA,NA,2007
"87","Raigadh","Alibag","March",0.2,NA,NA,2007
"88","Raigadh","Alibag","April",1.8,0,0,2007
"89","Raigadh","Alibag","May",17,135.5,3,2007
