"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,0,0,2000
"2","Thane","Thane","February",1,0,0,2000
"3","Thane","Thane","March",1.1,0,0,2000
"4","Thane","Thane","April",1.7,0,0,2000
"5","Thane","Thane","May",21.4,151.6,4,2000
"6","Thane","Thane","June",534.8,645.7,16,2000
"7","Thane","Thane","July",961.6,1686.5,21,2000
"8","Thane","Thane","August",637.2,688.2,24,2000
"9","Thane","Thane","September",334.4,106.5,8,2000
"10","Thane","Thane","October",101.1,17.1,3,2000
"11","Thane","Thane","November",15.1,0,0,2000
"12","Thane","Thane","December",2.4,0,0,2000
"13","Thane","Kalyan","January",1.7,0,0,2000
"14","Thane","Kalyan","February",1.2,0,0,2000
"15","Thane","Kalyan","March",0.4,0,0,2000
"16","Thane","Kalyan","April",1.3,0,0,2000
"17","Thane","Kalyan","May",13.2,118,2,2000
"18","Thane","Kalyan","June",476.8,319.2,14,2000
"19","Thane","Kalyan","July",1023.4,1253.2,22,2000
"20","Thane","Kalyan","August",652.7,600.9,22,2000
"21","Thane","Kalyan","September",301.7,139,10,2000
"22","Thane","Kalyan","October",90.6,49,6,2000
"23","Thane","Kalyan","November",16.3,0,0,2000
"24","Thane","Kalyan","December",2.8,0,0,2000
"25","Thane","Murbad","January",2.1,0,0,2000
"26","Thane","Murbad","February",0.8,0,0,2000
"27","Thane","Murbad","March",0.9,0,0,2000
"28","Thane","Murbad","April",3.5,0,0,2000
"29","Thane","Murbad","May",17.8,132,3,2000
"30","Thane","Murbad","June",378.3,252.1,15,2000
"31","Thane","Murbad","July",968.9,1112.6,22,2000
"32","Thane","Murbad","August",634.3,1636,22,2000
"33","Thane","Murbad","September",347.1,224.6,13,2000
"34","Thane","Murbad","October",103.2,147.6,4,2000
"35","Thane","Murbad","November",20.3,0,0,2000
"36","Thane","Murbad","December",3.2,0,0,2000
"37","Thane","Bhivandi","January",2.6,0,0,2000
"38","Thane","Bhivandi","February",1.2,0,0,2000
"39","Thane","Bhivandi","March",0.9,0,0,2000
"40","Thane","Bhivandi","April",1.4,0,0,2000
"41","Thane","Bhivandi","May",18.7,201,5,2000
"42","Thane","Bhivandi","June",471.7,191,12,2000
"43","Thane","Bhivandi","July",965.8,1485,22,2000
"44","Thane","Bhivandi","August",646.4,656.9,22,2000
"45","Thane","Bhivandi","September",337.6,75,5,2000
"46","Thane","Bhivandi","October",94.8,64,5,2000
"47","Thane","Bhivandi","November",10.7,0,0,2000
"48","Thane","Bhivandi","December",2.3,8,2,2000
"49","Thane","Shahapur","January",2.5,0,0,2000
"50","Thane","Shahapur","February",1,0,0,2000
"51","Thane","Shahapur","March",1.9,0,0,2000
"52","Thane","Shahapur","April",1.7,0,0,2000
"53","Thane","Shahapur","May",18.2,120,5,2000
"54","Thane","Shahapur","June",412.7,417.1,19,2000
"55","Thane","Shahapur","July",1102.4,954,25,2000
"56","Thane","Shahapur","August",703.2,467,20,2000
"57","Thane","Shahapur","September",338.1,136.9,9,2000
"58","Thane","Shahapur","October",95.2,118.7,7,2000
"59","Thane","Shahapur","November",15.8,0,0,2000
"60","Thane","Shahapur","December",2.9,4.5,1,2000
"61","Thane","Ulhasnagar","January",1.7,0,0,2000
"62","Thane","Ulhasnagar","February",1.2,0,0,2000
"63","Thane","Ulhasnagar","March",0.4,0,0,2000
"64","Thane","Ulhasnagar","April",1.3,0,0,2000
"65","Thane","Ulhasnagar","May",13.2,114,2,2000
"66","Thane","Ulhasnagar","June",457,230,14,2000
"67","Thane","Ulhasnagar","July",1001.4,780.4,23,2000
"68","Thane","Ulhasnagar","August",604.3,429,20,2000
"69","Thane","Ulhasnagar","September",301.9,71.6,7,2000
"70","Thane","Ulhasnagar","October",90.6,30.5,4,2000
"71","Thane","Ulhasnagar","November",16.3,0,0,2000
"72","Thane","Ulhasnagar","December",2.8,3.6,0,2000
"73","Thane","Ambarnath","January",1.7,0,0,2000
"74","Thane","Ambarnath","February",1.2,0,0,2000
"75","Thane","Ambarnath","March",0.4,0,0,2000
"76","Thane","Ambarnath","April",1.3,0,0,2000
"77","Thane","Ambarnath","May",13.2,0,0,2000
"78","Thane","Ambarnath","June",457,231.4,14,2000
"79","Thane","Ambarnath","July",1001.4,751,20,2000
"80","Thane","Ambarnath","August",604.3,575.7,23,2000
"81","Thane","Ambarnath","September",301.9,110.8,7,2000
"82","Thane","Ambarnath","October",90.6,9.3,1,2000
"83","Thane","Ambarnath","November",16.3,0,0,2000
"84","Thane","Ambarnath","December",2.8,0,0,2000
"85","Raigadh","Alibag","January",1.7,0,0,2000
"86","Raigadh","Alibag","February",2,0,0,2000
"87","Raigadh","Alibag","March",0.2,0,0,2000
"88","Raigadh","Alibag","April",1.8,0,0,2000
"89","Raigadh","Alibag","May",17,129.9,6,2000
"90","Raigadh","Alibag","June",540.8,586.3,16,2000
"91","Raigadh","Alibag","July",723,1001.1,20,2000
