"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,NA,NA,2016
"2","Thane","Thane","February",1,NA,NA,2016
"3","Thane","Thane","March",1.1,0,0,2016
"4","Thane","Thane","April",1.7,NA,NA,2016
"5","Thane","Thane","May",21.4,0,0,2016
"6","Thane","Thane","June",534.8,604.8,14,2016
"7","Thane","Thane","July",961.6,1081.3,31,2016
"8","Thane","Thane","August",637.2,656.4,24,2016
"9","Thane","Thane","September",334.4,474.4,21,2016
"10","Thane","Thane","October",101.1,68.7,5,2016
"11","Thane","Thane","November",15.1,0,0,2016
"12","Thane","Thane","December",2.4,0,0,2016
"13","Thane","Kalyan","January",1.7,NA,NA,2016
"14","Thane","Kalyan","February",1.2,NA,NA,2016
"15","Thane","Kalyan","March",0.4,0,0,2016
"16","Thane","Kalyan","April",1.3,NA,NA,2016
"17","Thane","Kalyan","May",13.2,NA,NA,2016
"18","Thane","Kalyan","June",476.8,309.1,10,2016
"19","Thane","Kalyan","July",1023.4,1150.2,29,2016
"20","Thane","Kalyan","August",652.7,628.3,24,2016
"21","Thane","Kalyan","September",301.7,372.7,16,2016
"22","Thane","Kalyan","October",90.6,46.4,4,2016
"23","Thane","Kalyan","November",16.3,0,0,2016
"24","Thane","Kalyan","December",2.8,0,0,2016
"25","Thane","Murbad","January",2.1,NA,NA,2016
"26","Thane","Murbad","February",0.8,NA,NA,2016
"27","Thane","Murbad","March",0.9,0,0,2016
"28","Thane","Murbad","April",3.5,NA,NA,2016
"29","Thane","Murbad","May",17.8,NA,NA,2016
"30","Thane","Murbad","June",378.3,127.7,9,2016
"31","Thane","Murbad","July",968.9,1231.8,31,2016
"32","Thane","Murbad","August",634.3,974.4,28,2016
"33","Thane","Murbad","September",347.1,631.7,21,2016
"34","Thane","Murbad","October",103.2,55.3,4,2016
"35","Thane","Murbad","November",20.3,0,0,2016
"36","Thane","Murbad","December",3.2,0,0,2016
"37","Thane","Bhivandi","January",2.6,NA,NA,2016
"38","Thane","Bhivandi","February",1.2,NA,NA,2016
"39","Thane","Bhivandi","March",0.9,0,0,2016
"40","Thane","Bhivandi","April",1.4,NA,NA,2016
"41","Thane","Bhivandi","May",18.7,NA,NA,2016
"42","Thane","Bhivandi","June",471.7,262.5,9,2016
"43","Thane","Bhivandi","July",965.8,1149.7,30,2016
"44","Thane","Bhivandi","August",646.4,642,25,2016
"45","Thane","Bhivandi","September",337.6,275.2,14,2016
"46","Thane","Bhivandi","October",94.8,58.1,4,2016
"47","Thane","Bhivandi","November",10.7,0,0,2016
"48","Thane","Bhivandi","December",2.3,0,0,2016
"49","Thane","Shahapur","January",2.5,NA,NA,2016
"50","Thane","Shahapur","February",1,NA,NA,2016
"51","Thane","Shahapur","March",1.9,0,0,2016
"52","Thane","Shahapur","April",1.7,NA,NA,2016
"53","Thane","Shahapur","May",18.2,NA,NA,2016
"54","Thane","Shahapur","June",412.7,207.8,10,2016
"55","Thane","Shahapur","July",1102.4,1129.6,31,2016
"56","Thane","Shahapur","August",703.2,934.6,27,2016
"57","Thane","Shahapur","September",338.1,393.5,20,2016
"58","Thane","Shahapur","October",95.2,46.8,4,2016
"59","Thane","Shahapur","November",15.8,0,0,2016
"60","Thane","Shahapur","December",2.9,0,0,2016
"61","Thane","Ulhasnagar","January",1.7,NA,NA,2016
"62","Thane","Ulhasnagar","February",1.2,NA,NA,2016
"63","Thane","Ulhasnagar","March",0.4,0,0,2016
"64","Thane","Ulhasnagar","April",1.3,NA,NA,2016
"65","Thane","Ulhasnagar","May",13.2,NA,NA,2016
"66","Thane","Ulhasnagar","June",457,316,11,2016
"67","Thane","Ulhasnagar","July",1001.4,1120.4,29,2016
"68","Thane","Ulhasnagar","August",604.3,646,23,2016
"69","Thane","Ulhasnagar","September",301.9,400,15,2016
"70","Thane","Ulhasnagar","October",90.6,44,3,2016
"71","Thane","Ulhasnagar","November",16.3,0,0,2016
"72","Thane","Ulhasnagar","December",2.8,0,0,2016
"73","Thane","Ambarnath","January",1.7,NA,NA,2016
"74","Thane","Ambarnath","February",1.2,NA,NA,2016
"75","Thane","Ambarnath","March",0.4,10.4,1,2016
"76","Thane","Ambarnath","April",1.3,NA,NA,2016
"77","Thane","Ambarnath","May",13.2,NA,NA,2016
"78","Thane","Ambarnath","June",457,202.2,11,2016
"79","Thane","Ambarnath","July",1001.4,1084.3,29,2016
"80","Thane","Ambarnath","August",604.3,809.5,22,2016
"81","Thane","Ambarnath","September",301.9,415,18,2016
"82","Thane","Ambarnath","October",90.6,42.7,3,2016
"83","Thane","Ambarnath","November",16.3,0,0,2016
"84","Thane","Ambarnath","December",2.8,0,0,2016
"85","Raigadh","Alibag","January",1.7,NA,NA,2016
"86","Raigadh","Alibag","February",2,NA,NA,2016
"87","Raigadh","Alibag","March",0.2,0,0,2016
"88","Raigadh","Alibag","April",1.8,NA,NA,2016
"89","Raigadh","Alibag","May",17,NA,NA,2016
"90","Raigadh","Alibag","June",540.8,643.4,14,2016
"91","Raigadh","Alibag","July",723,859.8,30,2016
"92","Raigadh","Alibag","August",479.4,402.9,23,2016
"93","Raigadh","Alibag","September",313.1,569.8,16,2016
