"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,NA,NA,2014
"2","Thane","Thane","February",1,NA,NA,2014
"3","Thane","Thane","March",1.1,NA,NA,2014
"4","Thane","Thane","April",1.7,NA,NA,2014
"5","Thane","Thane","May",21.4,0,0,2014
"6","Thane","Thane","June",534.8,151,8,2014
"7","Thane","Thane","July",961.6,1406.3,28,2014
"8","Thane","Thane","August",637.2,594.2,25,2014
"9","Thane","Thane","September",334.4,447.1,15,2014
"10","Thane","Thane","October",101.1,24.3,3,2014
"11","Thane","Thane","November",15.1,NA,NA,2014
"12","Thane","Thane","December",2.4,NA,NA,2014
"13","Thane","Kalyan","January",1.7,NA,NA,2014
"14","Thane","Kalyan","February",1.2,NA,NA,2014
"15","Thane","Kalyan","March",0.4,NA,NA,2014
"16","Thane","Kalyan","April",1.3,NA,NA,2014
"17","Thane","Kalyan","May",13.2,0,0,2014
"18","Thane","Kalyan","June",476.8,89.4,5,2014
"19","Thane","Kalyan","July",1023.4,1162.2,29,2014
"20","Thane","Kalyan","August",652.7,623.2,24,2014
"21","Thane","Kalyan","September",301.7,467.4,14,2014
"22","Thane","Kalyan","October",90.6,5.6,1,2014
"23","Thane","Kalyan","November",16.3,NA,NA,2014
"24","Thane","Kalyan","December",2.8,NA,NA,2014
"25","Thane","Murbad","January",2.1,NA,NA,2014
"26","Thane","Murbad","February",0.8,NA,NA,2014
"27","Thane","Murbad","March",0.9,NA,NA,2014
"28","Thane","Murbad","April",3.5,NA,NA,2014
"29","Thane","Murbad","May",17.8,NA,NA,2014
"30","Thane","Murbad","June",378.3,62.2,5,2014
"31","Thane","Murbad","July",968.9,1208.8,28,2014
"32","Thane","Murbad","August",634.3,958.2,31,2014
"33","Thane","Murbad","September",347.1,387.9,17,2014
"34","Thane","Murbad","October",103.2,41.8,6,2014
"35","Thane","Murbad","November",20.3,NA,NA,2014
"36","Thane","Murbad","December",3.2,NA,NA,2014
"37","Thane","Bhivandi","January",2.6,NA,NA,2014
"38","Thane","Bhivandi","February",1.2,NA,NA,2014
"39","Thane","Bhivandi","March",0.9,NA,NA,2014
"40","Thane","Bhivandi","April",1.4,NA,NA,2014
"41","Thane","Bhivandi","May",18.7,0,0,2014
"42","Thane","Bhivandi","June",471.7,94.8,6,2014
"43","Thane","Bhivandi","July",965.8,1319.3,29,2014
"44","Thane","Bhivandi","August",646.4,714,26,2014
"45","Thane","Bhivandi","September",337.6,350.1,13,2014
"46","Thane","Bhivandi","October",94.8,10.1,2,2014
"47","Thane","Bhivandi","November",10.7,NA,NA,2014
"48","Thane","Bhivandi","December",2.3,2,0,2014
"49","Thane","Shahapur","January",2.5,NA,NA,2014
"50","Thane","Shahapur","February",1,NA,NA,2014
"51","Thane","Shahapur","March",1.9,NA,NA,2014
"52","Thane","Shahapur","April",1.7,NA,NA,2014
"53","Thane","Shahapur","May",18.2,0,0,2014
"54","Thane","Shahapur","June",412.7,62,7,2014
"55","Thane","Shahapur","July",1102.4,1240.8,26,2014
"56","Thane","Shahapur","August",703.2,909.3,29,2014
"57","Thane","Shahapur","September",338.1,438.1,18,2014
"58","Thane","Shahapur","October",95.2,36,4,2014
"59","Thane","Shahapur","November",15.8,NA,NA,2014
"60","Thane","Shahapur","December",2.9,NA,NA,2014
"61","Thane","Ulhasnagar","January",1.7,NA,NA,2014
"62","Thane","Ulhasnagar","February",1.2,NA,NA,2014
"63","Thane","Ulhasnagar","March",0.4,NA,NA,2014
"64","Thane","Ulhasnagar","April",1.3,NA,NA,2014
"65","Thane","Ulhasnagar","May",13.2,NA,NA,2014
"66","Thane","Ulhasnagar","June",457,108.1,6,2014
"67","Thane","Ulhasnagar","July",1001.4,1141.2,23,2014
"68","Thane","Ulhasnagar","August",604.3,634,21,2014
"69","Thane","Ulhasnagar","September",301.9,366.3,8,2014
"70","Thane","Ulhasnagar","October",90.6,12,3,2014
"71","Thane","Ulhasnagar","November",16.3,NA,NA,2014
"72","Thane","Ulhasnagar","December",2.8,NA,NA,2014
"73","Thane","Ambarnath","January",1.7,NA,NA,2014
"74","Thane","Ambarnath","February",1.2,NA,NA,2014
"75","Thane","Ambarnath","March",0.4,NA,NA,2014
"76","Thane","Ambarnath","April",1.3,NA,NA,2014
"77","Thane","Ambarnath","May",13.2,0,0,2014
"78","Thane","Ambarnath","June",457,85.6,5,2014
"79","Thane","Ambarnath","July",1001.4,1276.2,28,2014
"80","Thane","Ambarnath","August",604.3,740.6,26,2014
"81","Thane","Ambarnath","September",301.9,391.1,12,2014
"82","Thane","Ambarnath","October",90.6,19.2,3,2014
"83","Thane","Ambarnath","November",16.3,NA,NA,2014
"84","Thane","Ambarnath","December",2.8,NA,NA,2014
"85","Raigadh","Alibag","January",1.7,NA,NA,2014
"86","Raigadh","Alibag","February",2,NA,NA,2014
"87","Raigadh","Alibag","March",0.2,NA,NA,2014
"88","Raigadh","Alibag","April",1.8,NA,NA,2014
"89","Raigadh","Alibag","May",17,0,0,2014
"90","Raigadh","Alibag","June",540.8,70.2,6,2014
"91","Raigadh","Alibag","July",723,1058.4,27,2014
"92","Raigadh","Alibag","August",479.4,468.9,28,2014
"93","Raigadh","Alibag","September",313.1,422.9,14,2014
"94","Raigadh","Alibag","October",74.8,7.9,1,2014
"95","Raigadh","Alibag","November",20.4,NA,NA,2014
"96","Raigadh","Alibag","December",3,NA,NA,2014
"97","Raigadh","Panwel","January",0.9,NA,NA,2014
"98","Raigadh","Panwel","February",0.8,NA,NA,2014
"99","Raigadh","Panwel","March",0.5,NA,NA,2014
"100","Raigadh","Panwel","April",1.8,NA,NA,2014
"101","Raigadh","Panwel","May",15.9,0,0,2014
"102","Raigadh","Panwel","June",567.5,19.2,1,2014
"103","Raigadh","Panwel","July",1128.9,1411.2,29,2014
"104","Raigadh","Panwel","August",790.4,506.6,26,2014
"105","Raigadh","Panwel","September",402,354.9,15,2014
"106","Raigadh","Panwel","October",94.5,55.3,4,2014
"107","Raigadh","Panwel","November",15.3,NA,NA,2014
"108","Raigadh","Panwel","December",2.5,NA,NA,2014
"109","Raigadh","Karjat","January",1.1,NA,NA,2014
"110","Raigadh","Karjat","February",0.5,NA,NA,2014
"111","Raigadh","Karjat","March",1.6,NA,NA,2014
"112","Raigadh","Karjat","April",2.8,NA,NA,2014
"113","Raigadh","Karjat","May",19.3,0,0,2014
"114","Raigadh","Karjat","June",548.7,45.7,6,2014
"115","Raigadh","Karjat","July",1378.2,1206,27,2014
"116","Raigadh","Karjat","August",937.6,810.2,29,2014
"117","Raigadh","Karjat","September",436,386.9,17,2014
"118","Raigadh","Karjat","October",131.4,18.2,2,2014
"119","Raigadh","Karjat","November",19.9,NA,NA,2014
"120","Raigadh","Karjat","December",2.4,NA,NA,2014
"121","Raigadh","Khalapur","January",0.1,NA,NA,2014
"122","Raigadh","Khalapur","February",0.1,NA,NA,2014
"123","Raigadh","Khalapur","March",0.1,NA,NA,2014
"124","Raigadh","Khalapur","April",1.5,NA,NA,2014
"125","Raigadh","Khalapur","May",26.5,0,0,2014
"126","Raigadh","Khalapur","June",563.4,121.7,7,2014
"127","Raigadh","Khalapur","July",1302.2,781.7,28,2014
"128","Raigadh","Khalapur","August",1026.1,494,25,2014
"129","Raigadh","Khalapur","September",458.5,393.4,18,2014
"130","Raigadh","Khalapur","October",142,61.6,5,2014
"131","Raigadh","Khalapur","November",7.8,NA,NA,2014
"132","Raigadh","Khalapur","December",8,NA,NA,2014
"133","Raigadh","Uran","January",1.6,NA,NA,2014
"134","Raigadh","Uran","February",1.7,NA,NA,2014
"135","Raigadh","Uran","March",1,NA,NA,2014
"136","Raigadh","Uran","April",1.1,NA,NA,2014
"137","Raigadh","Uran","May",14.8,0,0,2014
"138","Raigadh","Uran","June",524.2,13.6,1,2014
"139","Raigadh","Uran","July",762.4,1066,30,2014
"140","Raigadh","Uran","August",486.6,357.7,25,2014
"141","Raigadh","Uran","September",306.3,402.2,16,2014
"142","Raigadh","Uran","October",71.7,34,2,2014
"143","Raigadh","Uran","November",11.7,NA,NA,2014
"144","Raigadh","Uran","December",1.6,NA,NA,2014
"145","Raigadh","Sudhagad","January",0.1,NA,NA,2014
"146","Raigadh","Sudhagad","February",0.1,NA,NA,2014
"147","Raigadh","Sudhagad","March",0.1,NA,NA,2014
"148","Raigadh","Sudhagad","April",2.3,NA,NA,2014
"149","Raigadh","Sudhagad","May",27.7,0,0,2014
"150","Raigadh","Sudhagad","June",735.6,91,6,2014
"151","Raigadh","Sudhagad","July",1484,1351.3,30,2014
"152","Raigadh","Sudhagad","August",1067.7,760.4,31,2014
"153","Raigadh","Sudhagad","September",452.1,530.2,16,2014
"154","Raigadh","Sudhagad","October",105.5,81,2,2014
"155","Raigadh","Sudhagad","November",14.6,0,0,2014
"156","Raigadh","Sudhagad","December",6.6,NA,NA,2014
"157","Raigadh","Pen","January",1.2,NA,NA,2014
"158","Raigadh","Pen","February",1,NA,NA,2014
"159","Raigadh","Pen","March",0.5,NA,NA,2014
"160","Raigadh","Pen","April",1.5,NA,NA,2014
"161","Raigadh","Pen","May",13.1,0,0,2014
"162","Raigadh","Pen","June",554.1,24.4,3,2014
"163","Raigadh","Pen","July",1112.4,1210,29,2014
"164","Raigadh","Pen","August",760.2,566.8,27,2014
"165","Raigadh","Pen","September",407.3,431.8,16,2014
"166","Raigadh","Pen","October",103.9,21.9,3,2014
"167","Raigadh","Pen","November",19,NA,NA,2014
"168","Raigadh","Pen","December",2.2,NA,NA,2014
"169","Raigadh","Mahad","January",1.6,NA,NA,2014
"170","Raigadh","Mahad","February",0.4,NA,NA,2014
"171","Raigadh","Mahad","March",0.7,NA,NA,2014
"172","Raigadh","Mahad","April",7.3,NA,NA,2014
"173","Raigadh","Mahad","May",32.9,0,0,2014
"174","Raigadh","Mahad","June",651,91.3,6,2014
"175","Raigadh","Mahad","July",1348.2,1028.6,30,2014
"176","Raigadh","Mahad","August",912.9,628.9,29,2014
"177","Raigadh","Mahad","September",414.1,358.4,19,2014
"178","Raigadh","Mahad","October",128.3,16.9,2,2014
"179","Raigadh","Mahad","November",22.8,NA,NA,2014
"180","Raigadh","Mahad","December",4.3,NA,NA,2014
"181","Raigadh","Mangaon","January",1.6,NA,NA,2014
"182","Raigadh","Mangaon","February",0.5,NA,NA,2014
"183","Raigadh","Mangaon","March",0.4,NA,NA,2014
"184","Raigadh","Mangaon","April",5.2,NA,NA,2014
"185","Raigadh","Mangaon","May",26.4,0,0,2014
"186","Raigadh","Mangaon","June",630.3,109.2,6,2014
"187","Raigadh","Mangaon","July",1248.4,1100.4,29,2014
"188","Raigadh","Mangaon","August",776.4,620.8,27,2014
"189","Raigadh","Mangaon","September",387.1,355.6,14,2014
"190","Raigadh","Mangaon","October",115.5,41.6,4,2014
"191","Raigadh","Mangaon","November",20,0,0,2014
"192","Raigadh","Mangaon","December",3,NA,NA,2014
"193","Raigadh","Roha","January",1.7,NA,NA,2014
