"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,0,0,1998
"2","Thane","Thane","February",1,0,0,1998
"3","Thane","Thane","March",1.1,0,0,1998
"4","Thane","Thane","April",1.7,0,0,1998
"5","Thane","Thane","May",21.4,0,0,1998
"6","Thane","Thane","June",534.8,361.6,11,1998
"7","Thane","Thane","July",961.6,747.8,27,1998
"8","Thane","Thane","August",637.2,678,27,1998
"9","Thane","Thane","September",334.4,584.1,20,1998
"10","Thane","Thane","October",101.1,205.1,12,1998
"11","Thane","Thane","November",15.1,69.7,5,1998
"12","Thane","Thane","December",2.4,0,0,1998
"13","Thane","Kalyan","January",1.7,0,0,1998
"14","Thane","Kalyan","February",1.2,0,0,1998
"15","Thane","Kalyan","March",0.4,0,0,1998
"16","Thane","Kalyan","April",1.3,0,0,1998
"17","Thane","Kalyan","May",13.2,0,0,1998
"18","Thane","Kalyan","June",476.8,426,13,1998
"19","Thane","Kalyan","July",1023.4,798,24,1998
"20","Thane","Kalyan","August",652.7,609,28,1998
"21","Thane","Kalyan","September",301.7,834.1,23,1998
"22","Thane","Kalyan","October",90.6,201,12,1998
"23","Thane","Kalyan","November",16.3,48,6,1998
"24","Thane","Kalyan","December",2.8,0,0,1998
"25","Thane","Murbad","January",2.1,0,0,1998
"26","Thane","Murbad","February",0.8,0,0,1998
"27","Thane","Murbad","March",0.9,0,0,1998
"28","Thane","Murbad","April",3.5,0,0,1998
"29","Thane","Murbad","May",17.8,0,0,1998
"30","Thane","Murbad","June",378.3,257,11,1998
"31","Thane","Murbad","July",968.9,611,21,1998
"32","Thane","Murbad","August",634.3,673,24,1998
"33","Thane","Murbad","September",347.1,674,21,1998
"34","Thane","Murbad","October",103.2,173,14,1998
"35","Thane","Murbad","November",20.3,0,0,1998
"36","Thane","Murbad","December",3.2,0,0,1998
"37","Thane","Bhivandi","January",2.6,0,0,1998
"38","Thane","Bhivandi","February",1.2,0,0,1998
"39","Thane","Bhivandi","March",0.9,0,0,1998
"40","Thane","Bhivandi","April",1.4,0,0,1998
"41","Thane","Bhivandi","May",18.7,0,0,1998
"42","Thane","Bhivandi","June",471.7,450.3,13,1998
"43","Thane","Bhivandi","July",965.8,830,23,1998
"44","Thane","Bhivandi","August",646.4,813,26,1998
"45","Thane","Bhivandi","September",337.6,917.1,22,1998
"46","Thane","Bhivandi","October",94.8,317,13,1998
"47","Thane","Bhivandi","November",10.7,3,0,1998
"48","Thane","Bhivandi","December",2.3,0,0,1998
"49","Thane","Shahapur","January",2.5,0,0,1998
"50","Thane","Shahapur","February",1,0,0,1998
"51","Thane","Shahapur","March",1.9,0,0,1998
"52","Thane","Shahapur","April",1.7,0,0,1998
"53","Thane","Shahapur","May",18.2,0,0,1998
"54","Thane","Shahapur","June",412.7,211.6,8,1998
"55","Thane","Shahapur","July",1102.4,689,25,1998
"56","Thane","Shahapur","August",703.2,694,29,1998
"57","Thane","Shahapur","September",338.1,580,19,1998
"58","Thane","Shahapur","October",95.2,200,11,1998
"59","Thane","Shahapur","November",15.8,0,0,1998
"60","Thane","Shahapur","December",2.9,0,0,1998
"61","Thane","Ulhasnagar","January",1.7,0,0,1998
"62","Thane","Ulhasnagar","February",1.2,0,0,1998
"63","Thane","Ulhasnagar","March",0.4,0,0,1998
"64","Thane","Ulhasnagar","April",1.3,0,0,1998
"65","Thane","Ulhasnagar","May",13.2,0,0,1998
"66","Thane","Ulhasnagar","June",457,226,11,1998
"67","Thane","Ulhasnagar","July",1001.4,445.8,22,1998
"68","Thane","Ulhasnagar","August",604.3,535.2,29,1998
"69","Thane","Ulhasnagar","September",301.9,553.8,19,1998
"70","Thane","Ulhasnagar","October",90.6,147,12,1998
"71","Thane","Ulhasnagar","November",16.3,11.4,2,1998
"72","Thane","Ulhasnagar","December",2.8,0,0,1998
"73","Thane","Ambarnath","January",1.7,0,0,1998
"74","Thane","Ambarnath","February",1.2,0,0,1998
"75","Thane","Ambarnath","March",0.4,0,0,1998
"76","Thane","Ambarnath","April",1.3,0,0,1998
"77","Thane","Ambarnath","May",13.2,0,0,1998
"78","Thane","Ambarnath","June",457,225.6,11,1998
"79","Thane","Ambarnath","July",1001.4,440.6,22,1998
