"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,NA,NA,2009
"2","Thane","Thane","February",1,NA,NA,2009
"3","Thane","Thane","March",1.1,NA,NA,2009
"4","Thane","Thane","April",1.7,NA,NA,2009
"5","Thane","Thane","May",21.4,NA,NA,2009
"6","Thane","Thane","June",534.8,125.6,9,2009
"7","Thane","Thane","July",961.6,1008.6,25,2009
"8","Thane","Thane","August",637.2,278,24,2009
"9","Thane","Thane","September",334.4,372.6,11,2009
"10","Thane","Thane","October",101.1,295.7,6,2009
"11","Thane","Thane","November",15.1,71.6,3,2009
"12","Thane","Thane","December",2.4,NA,NA,2009
"13","Thane","Kalyan","January",1.7,NA,NA,2009
"14","Thane","Kalyan","February",1.2,NA,NA,2009
"15","Thane","Kalyan","March",0.4,NA,NA,2009
"16","Thane","Kalyan","April",1.3,NA,NA,2009
"17","Thane","Kalyan","May",13.2,NA,NA,2009
"18","Thane","Kalyan","June",476.8,65,5,2009
"19","Thane","Kalyan","July",1023.4,1095,25,2009
"20","Thane","Kalyan","August",652.7,137,10,2009
"21","Thane","Kalyan","September",301.7,239.1,13,2009
"22","Thane","Kalyan","October",90.6,302.9,5,2009
"23","Thane","Kalyan","November",16.3,118,4,2009
"24","Thane","Kalyan","December",2.8,NA,NA,2009
"25","Thane","Murbad","January",2.1,NA,NA,2009
"26","Thane","Murbad","February",0.8,NA,NA,2009
"27","Thane","Murbad","March",0.9,NA,NA,2009
"28","Thane","Murbad","April",3.5,NA,NA,2009
"29","Thane","Murbad","May",17.8,NA,NA,2009
"30","Thane","Murbad","June",378.3,159.9,7,2009
"31","Thane","Murbad","July",968.9,997.8,21,2009
"32","Thane","Murbad","August",634.3,213.5,14,2009
"33","Thane","Murbad","September",347.1,306.5,13,2009
"34","Thane","Murbad","October",103.2,144.9,4,2009
"35","Thane","Murbad","November",20.3,86.8,4,2009
"36","Thane","Murbad","December",3.2,NA,NA,2009
"37","Thane","Bhivandi","January",2.6,NA,NA,2009
"38","Thane","Bhivandi","February",1.2,NA,NA,2009
"39","Thane","Bhivandi","March",0.9,NA,NA,2009
"40","Thane","Bhivandi","April",1.4,NA,NA,2009
"41","Thane","Bhivandi","May",18.7,NA,NA,2009
