"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,0,0,2001
"2","Thane","Thane","February",1,0,0,2001
"3","Thane","Thane","March",1.1,0,0,2001
"4","Thane","Thane","April",1.7,0,0,2001
"5","Thane","Thane","May",21.4,0,0,2001
"6","Thane","Thane","June",534.8,706.3,17,2001
"7","Thane","Thane","July",961.6,600,18,2001
"8","Thane","Thane","August",637.2,197.7,11,2001
"9","Thane","Thane","September",334.4,241.5,11,2001
"10","Thane","Thane","October",101.1,103.5,3,2001
"11","Thane","Thane","November",15.1,0,0,2001
"12","Thane","Thane","December",2.4,0,0,2001
"13","Thane","Kalyan","January",1.7,8,1,2001
"14","Thane","Kalyan","February",1.2,0,0,2001
"15","Thane","Kalyan","March",0.4,0,0,2001
"16","Thane","Kalyan","April",1.3,0,0,2001
"17","Thane","Kalyan","May",13.2,0,0,2001
"18","Thane","Kalyan","June",476.8,642,16,2001
"19","Thane","Kalyan","July",1023.4,834,31,2001
"20","Thane","Kalyan","August",652.7,788,22,2001
"21","Thane","Kalyan","September",301.7,238,13,2001
"22","Thane","Kalyan","October",90.6,102,5,2001
"23","Thane","Kalyan","November",16.3,0,0,2001
"24","Thane","Kalyan","December",2.8,0,0,2001
"25","Thane","Murbad","January",2.1,25,2,2001
"26","Thane","Murbad","February",0.8,0,0,2001
"27","Thane","Murbad","March",0.9,0,0,2001
"28","Thane","Murbad","April",3.5,0,0,2001
"29","Thane","Murbad","May",17.8,0,0,2001
"30","Thane","Murbad","June",378.3,625.9,12,2001
"31","Thane","Murbad","July",968.9,1096.3,29,2001
"32","Thane","Murbad","August",634.3,1117.5,20,2001
"33","Thane","Murbad","September",347.1,213.7,9,2001
"34","Thane","Murbad","October",103.2,84.3,5,2001
"35","Thane","Murbad","November",20.3,0,0,2001
"36","Thane","Murbad","December",3.2,0,0,2001
"37","Thane","Bhivandi","January",2.6,0,0,2001
"38","Thane","Bhivandi","February",1.2,0,0,2001
"39","Thane","Bhivandi","March",0.9,0,0,2001
"40","Thane","Bhivandi","April",1.4,0,0,2001
"41","Thane","Bhivandi","May",18.7,6,1,2001
"42","Thane","Bhivandi","June",471.7,539,14,2001
"43","Thane","Bhivandi","July",965.8,738,29,2001
"44","Thane","Bhivandi","August",646.4,653,20,2001
"45","Thane","Bhivandi","September",337.6,107,8,2001
"46","Thane","Bhivandi","October",94.8,55,3,2001
"47","Thane","Bhivandi","November",10.7,0,0,2001
"48","Thane","Bhivandi","December",2.3,0,0,2001
"49","Thane","Shahapur","January",2.5,0,0,2001
"50","Thane","Shahapur","February",1,0,0,2001
"51","Thane","Shahapur","March",1.9,0,0,2001
"52","Thane","Shahapur","April",1.7,0,0,2001
"53","Thane","Shahapur","May",18.2,0,0,2001
"54","Thane","Shahapur","June",412.7,564.5,15,2001
"55","Thane","Shahapur","July",1102.4,869,29,2001
"56","Thane","Shahapur","August",703.2,560.8,25,2001
"57","Thane","Shahapur","September",338.1,199.5,11,2001
"58","Thane","Shahapur","October",95.2,63,4,2001
"59","Thane","Shahapur","November",15.8,0,0,2001
"60","Thane","Shahapur","December",2.9,0,0,2001
"61","Thane","Ulhasnagar","January",1.7,0,0,2001
"62","Thane","Ulhasnagar","February",1.2,0,0,2001
"63","Thane","Ulhasnagar","March",0.4,0,0,2001
"64","Thane","Ulhasnagar","April",1.3,0,0,2001
"65","Thane","Ulhasnagar","May",13.2,0,0,2001
"66","Thane","Ulhasnagar","June",457,430,15,2001
"67","Thane","Ulhasnagar","July",1001.4,658.3,30,2001
"68","Thane","Ulhasnagar","August",604.3,693.2,22,2001
"69","Thane","Ulhasnagar","September",301.9,208.8,7,2001
"70","Thane","Ulhasnagar","October",90.6,87.8,6,2001
"71","Thane","Ulhasnagar","November",16.3,0,0,2001
"72","Thane","Ulhasnagar","December",2.8,0,0,2001
"73","Thane","Ambarnath","January",1.7,0,0,2001
"74","Thane","Ambarnath","February",1.2,0,0,2001
"75","Thane","Ambarnath","March",0.4,0,0,2001
"76","Thane","Ambarnath","April",1.3,0,0,2001
"77","Thane","Ambarnath","May",13.2,0,0,2001
"78","Thane","Ambarnath","June",457,475,12,2001
"79","Thane","Ambarnath","July",1001.4,778.8,31,2001
"80","Thane","Ambarnath","August",604.3,596,23,2001
"81","Thane","Ambarnath","September",301.9,301.6,7,2001
"82","Thane","Ambarnath","October",90.6,138.2,6,2001
"83","Thane","Ambarnath","November",16.3,12.8,1,2001
"84","Thane","Ambarnath","December",2.8,0,0,2001
"85","Raigadh","Alibag","January",1.7,0,0,2001
"86","Raigadh","Alibag","February",2,0,0,2001
"87","Raigadh","Alibag","March",0.2,0,0,2001
"88","Raigadh","Alibag","April",1.8,0,0,2001
"89","Raigadh","Alibag","May",17,32.3,5,2001
"90","Raigadh","Alibag","June",540.8,392.6,12,2001
"91","Raigadh","Alibag","July",723,525.5,26,2001
"92","Raigadh","Alibag","August",479.4,372.7,18,2001
"93","Raigadh","Alibag","September",313.1,248.5,10,2001
"94","Raigadh","Alibag","October",74.8,89.1,5,2001
"95","Raigadh","Alibag","November",20.4,0,0,2001
"96","Raigadh","Alibag","December",3,0,0,2001
"97","Raigadh","Panwel","January",0.9,3,1,2001
"98","Raigadh","Panwel","February",0.8,0,0,2001
"99","Raigadh","Panwel","March",0.5,0,0,2001
"100","Raigadh","Panwel","April",1.8,0,0,2001
"101","Raigadh","Panwel","May",15.9,15.4,3,2001
"102","Raigadh","Panwel","June",567.5,626.4,21,2001
"103","Raigadh","Panwel","July",1128.9,936.9,27,2001
"104","Raigadh","Panwel","August",790.4,631.2,29,2001
"105","Raigadh","Panwel","September",402,248.2,13,2001
"106","Raigadh","Panwel","October",94.5,118.2,5,2001
"107","Raigadh","Panwel","November",15.3,0,0,2001
"108","Raigadh","Panwel","December",2.5,0,0,2001
"109","Raigadh","Karjat","January",1.1,0,0,2001
"110","Raigadh","Karjat","February",0.5,0,0,2001
"111","Raigadh","Karjat","March",1.6,0,0,2001
"112","Raigadh","Karjat","April",2.8,0,0,2001
"113","Raigadh","Karjat","May",19.3,0,0,2001
"114","Raigadh","Karjat","June",548.7,752.4,18,2001
"115","Raigadh","Karjat","July",1378.2,984.2,31,2001
"116","Raigadh","Karjat","August",937.6,883.5,27,2001
"117","Raigadh","Karjat","September",436,221.6,11,2001
"118","Raigadh","Karjat","October",131.4,90,6,2001
"119","Raigadh","Karjat","November",19.9,0,0,2001
"120","Raigadh","Karjat","December",2.4,0,0,2001
"121","Raigadh","Khalapur","January",0.1,0,0,2001
"122","Raigadh","Khalapur","February",0.1,0,0,2001
"123","Raigadh","Khalapur","March",0.1,0,0,2001
"124","Raigadh","Khalapur","April",1.5,0,0,2001
"125","Raigadh","Khalapur","May",26.5,0,0,2001
"126","Raigadh","Khalapur","June",563.4,777.7,17,2001
"127","Raigadh","Khalapur","July",1302.2,861,31,2001
"128","Raigadh","Khalapur","August",1026.1,635.6,26,2001
"129","Raigadh","Khalapur","September",458.5,267.4,12,2001
"130","Raigadh","Khalapur","October",142,161.9,6,2001
"131","Raigadh","Khalapur","November",7.8,0,0,2001
"132","Raigadh","Khalapur","December",8,0,0,2001
"133","Raigadh","Uran","January",1.6,0,0,2001
"134","Raigadh","Uran","February",1.7,0,0,2001
"135","Raigadh","Uran","March",1,0,0,2001
"136","Raigadh","Uran","April",1.1,0,0,2001
"137","Raigadh","Uran","May",14.8,4,1,2001
"138","Raigadh","Uran","June",524.2,265.1,14,2001
"139","Raigadh","Uran","July",762.4,370.7,23,2001
"140","Raigadh","Uran","August",486.6,217.1,15,2001
"141","Raigadh","Uran","September",306.3,33.9,7,2001
"142","Raigadh","Uran","October",71.7,21.2,3,2001
"143","Raigadh","Uran","November",11.7,0,0,2001
"144","Raigadh","Uran","December",1.6,0,0,2001
"145","Raigadh","Sudhagad","January",0.1,0,0,2001
"146","Raigadh","Sudhagad","February",0.1,0,0,2001
"147","Raigadh","Sudhagad","March",0.1,0,0,2001
"148","Raigadh","Sudhagad","April",2.3,0,0,2001
"149","Raigadh","Sudhagad","May",27.7,31.7,2,2001
"150","Raigadh","Sudhagad","June",735.6,486.9,18,2001
"151","Raigadh","Sudhagad","July",1484,1101.9,31,2001
"152","Raigadh","Sudhagad","August",1067.7,535.3,26,2001
"153","Raigadh","Sudhagad","September",452.1,252.8,8,2001
"154","Raigadh","Sudhagad","October",105.5,80.1,5,2001
"155","Raigadh","Sudhagad","November",14.6,0,0,2001
"156","Raigadh","Sudhagad","December",6.6,0,0,2001
"157","Raigadh","Pen","January",1.2,13.2,1,2001
"158","Raigadh","Pen","February",1,0,0,2001
"159","Raigadh","Pen","March",0.5,0,0,2001
"160","Raigadh","Pen","April",1.5,0,0,2001
