"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,NA,NA,2013
"2","Thane","Thane","February",1,NA,NA,2013
"3","Thane","Thane","March",1.1,NA,NA,2013
"4","Thane","Thane","April",1.7,NA,NA,2013
"5","Thane","Thane","May",21.4,NA,NA,2013
"6","Thane","Thane","June",534.8,1208.4,24,2013
"7","Thane","Thane","July",961.6,1271.9,31,2013
"8","Thane","Thane","August",637.2,413.6,28,2013
"9","Thane","Thane","September",334.4,300.5,22,2013
"10","Thane","Thane","October",101.1,70.4,8,2013
"11","Thane","Thane","November",15.1,0,0,2013
"12","Thane","Thane","December",2.4,NA,NA,2013
"13","Thane","Kalyan","January",1.7,NA,NA,2013
"14","Thane","Kalyan","February",1.2,NA,NA,2013
"15","Thane","Kalyan","March",0.4,NA,NA,2013
"16","Thane","Kalyan","April",1.3,NA,NA,2013
"17","Thane","Kalyan","May",13.2,NA,NA,2013
"18","Thane","Kalyan","June",476.8,1094,23,2013
"19","Thane","Kalyan","July",1023.4,1062.1,28,2013
"20","Thane","Kalyan","August",652.7,412.8,24,2013
"21","Thane","Kalyan","September",301.7,300,18,2013
"22","Thane","Kalyan","October",90.6,63.2,5,2013
"23","Thane","Kalyan","November",16.3,0,0,2013
"24","Thane","Kalyan","December",2.8,NA,NA,2013
"25","Thane","Murbad","January",2.1,NA,NA,2013
"26","Thane","Murbad","February",0.8,NA,NA,2013
"27","Thane","Murbad","March",0.9,NA,NA,2013
"28","Thane","Murbad","April",3.5,NA,NA,2013
"29","Thane","Murbad","May",17.8,NA,NA,2013
"30","Thane","Murbad","June",378.3,830,22,2013
"31","Thane","Murbad","July",968.9,1150.1,31,2013
"32","Thane","Murbad","August",634.3,556.6,28,2013
"33","Thane","Murbad","September",347.1,374.4,22,2013
"34","Thane","Murbad","October",103.2,100.4,15,2013
"35","Thane","Murbad","November",20.3,0,0,2013
"36","Thane","Murbad","December",3.2,NA,NA,2013
"37","Thane","Bhivandi","January",2.6,NA,NA,2013
"38","Thane","Bhivandi","February",1.2,NA,NA,2013
"39","Thane","Bhivandi","March",0.9,NA,NA,2013
"40","Thane","Bhivandi","April",1.4,NA,NA,2013
"41","Thane","Bhivandi","May",18.7,NA,NA,2013
"42","Thane","Bhivandi","June",471.7,894,21,2013
"43","Thane","Bhivandi","July",965.8,1217.2,31,2013
"44","Thane","Bhivandi","August",646.4,459.3,25,2013
"45","Thane","Bhivandi","September",337.6,333.4,21,2013
"46","Thane","Bhivandi","October",94.8,53.3,6,2013
"47","Thane","Bhivandi","November",10.7,NA,NA,2013
"48","Thane","Bhivandi","December",2.3,NA,NA,2013
"49","Thane","Shahapur","January",2.5,NA,NA,2013
"50","Thane","Shahapur","February",1,NA,NA,2013
"51","Thane","Shahapur","March",1.9,NA,NA,2013
"52","Thane","Shahapur","April",1.7,NA,NA,2013
"53","Thane","Shahapur","May",18.2,NA,NA,2013
"54","Thane","Shahapur","June",412.7,830.4,24,2013
"55","Thane","Shahapur","July",1102.4,1238.9,31,2013
"56","Thane","Shahapur","August",703.2,699.3,28,2013
"57","Thane","Shahapur","September",338.1,231.7,19,2013
"58","Thane","Shahapur","October",95.2,37.3,5,2013
"59","Thane","Shahapur","November",15.8,NA,NA,2013
"60","Thane","Shahapur","December",2.9,NA,NA,2013
"61","Thane","Ulhasnagar","January",1.7,NA,NA,2013
"62","Thane","Ulhasnagar","February",1.2,NA,NA,2013
"63","Thane","Ulhasnagar","March",0.4,NA,NA,2013
"64","Thane","Ulhasnagar","April",1.3,NA,NA,2013
"65","Thane","Ulhasnagar","May",13.2,3.6,1,2013
"66","Thane","Ulhasnagar","June",457,1185,23,2013
"67","Thane","Ulhasnagar","July",1001.4,1245.9,29,2013
"68","Thane","Ulhasnagar","August",604.3,467,23,2013
"69","Thane","Ulhasnagar","September",301.9,346.4,18,2013
