"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,NA,NA,2008
"2","Thane","Thane","February",1,NA,NA,2008
"3","Thane","Thane","March",1.1,NA,NA,2008
"4","Thane","Thane","April",1.7,NA,NA,2008
"5","Thane","Thane","May",21.4,11.2,1,2008
"6","Thane","Thane","June",534.8,651.6,17,2008
"7","Thane","Thane","July",961.6,1028.7,25,2008
"8","Thane","Thane","August",637.2,686.6,21,2008
"9","Thane","Thane","September",334.4,325.1,14,2008
"10","Thane","Thane","October",101.1,2.2,0,2008
"11","Thane","Thane","November",15.1,NA,NA,2008
"12","Thane","Thane","December",2.4,NA,NA,2008
"13","Thane","Kalyan","January",1.7,NA,NA,2008
"14","Thane","Kalyan","February",1.2,NA,NA,2008
"15","Thane","Kalyan","March",0.4,NA,NA,2008
"16","Thane","Kalyan","April",1.3,NA,NA,2008
"17","Thane","Kalyan","May",13.2,15.1,2,2008
"18","Thane","Kalyan","June",476.8,599,19,2008
"19","Thane","Kalyan","July",1023.4,1033.1,24,2008
"20","Thane","Kalyan","August",652.7,797,21,2008
"21","Thane","Kalyan","September",301.7,411,18,2008
"22","Thane","Kalyan","October",90.6,86.5,3,2008
"23","Thane","Kalyan","November",16.3,NA,NA,2008
"24","Thane","Kalyan","December",2.8,NA,NA,2008
"25","Thane","Murbad","January",2.1,NA,NA,2008
"26","Thane","Murbad","February",0.8,NA,NA,2008
"27","Thane","Murbad","March",0.9,NA,NA,2008
"28","Thane","Murbad","April",3.5,NA,NA,2008
"29","Thane","Murbad","May",17.8,1.1,0,2008
"30","Thane","Murbad","June",378.3,574.1,13,2008
"31","Thane","Murbad","July",968.9,786.3,27,2008
"32","Thane","Murbad","August",634.3,845.9,21,2008
"33","Thane","Murbad","September",347.1,405.2,16,2008
"34","Thane","Murbad","October",103.2,104.1,4,2008
"35","Thane","Murbad","November",20.3,NA,NA,2008
"36","Thane","Murbad","December",3.2,NA,NA,2008
"37","Thane","Bhivandi","January",2.6,NA,NA,2008
"38","Thane","Bhivandi","February",1.2,NA,NA,2008
"39","Thane","Bhivandi","March",0.9,NA,NA,2008
"40","Thane","Bhivandi","April",1.4,NA,NA,2008
"41","Thane","Bhivandi","May",18.7,0,0,2008
"42","Thane","Bhivandi","June",471.7,697,15,2008
"43","Thane","Bhivandi","July",965.8,1059,23,2008
"44","Thane","Bhivandi","August",646.4,788,20,2008
"45","Thane","Bhivandi","September",337.6,421,14,2008
"46","Thane","Bhivandi","October",94.8,26,2,2008
"47","Thane","Bhivandi","November",10.7,NA,NA,2008
"48","Thane","Bhivandi","December",2.3,NA,NA,2008
"49","Thane","Shahapur","January",2.5,NA,NA,2008
"50","Thane","Shahapur","February",1,NA,NA,2008
"51","Thane","Shahapur","March",1.9,NA,NA,2008
"52","Thane","Shahapur","April",1.7,NA,NA,2008
"53","Thane","Shahapur","May",18.2,12,1,2008
"54","Thane","Shahapur","June",412.7,513.8,18,2008
"55","Thane","Shahapur","July",1102.4,793.4,26,2008
"56","Thane","Shahapur","August",703.2,739.2,19,2008
"57","Thane","Shahapur","September",338.1,548,16,2008
"58","Thane","Shahapur","October",95.2,36.8,3,2008
"59","Thane","Shahapur","November",15.8,NA,NA,2008
"60","Thane","Shahapur","December",2.9,NA,NA,2008
"61","Thane","Ulhasnagar","January",1.7,NA,NA,2008
"62","Thane","Ulhasnagar","February",1.2,NA,NA,2008
"63","Thane","Ulhasnagar","March",0.4,NA,NA,2008
"64","Thane","Ulhasnagar","April",1.3,NA,NA,2008
"65","Thane","Ulhasnagar","May",13.2,20.2,1,2008
"66","Thane","Ulhasnagar","June",457,631.2,16,2008
"67","Thane","Ulhasnagar","July",1001.4,934.7,25,2008
"68","Thane","Ulhasnagar","August",604.3,699.1,19,2008
"69","Thane","Ulhasnagar","September",301.9,502.9,18,2008
"70","Thane","Ulhasnagar","October",90.6,97,3,2008
"71","Thane","Ulhasnagar","November",16.3,NA,NA,2008
"72","Thane","Ulhasnagar","December",2.8,NA,NA,2008
"73","Thane","Ambarnath","January",1.7,NA,NA,2008
"74","Thane","Ambarnath","February",1.2,NA,NA,2008
"75","Thane","Ambarnath","March",0.4,NA,NA,2008
"76","Thane","Ambarnath","April",1.3,NA,NA,2008
"77","Thane","Ambarnath","May",13.2,5.6,1,2008
"78","Thane","Ambarnath","June",457,323.7,14,2008
"79","Thane","Ambarnath","July",1001.4,443.2,20,2008
"80","Thane","Ambarnath","August",604.3,435.4,20,2008
"81","Thane","Ambarnath","September",301.9,225.3,15,2008
"82","Thane","Ambarnath","October",90.6,65.4,5,2008
"83","Thane","Ambarnath","November",16.3,NA,NA,2008
"84","Thane","Ambarnath","December",2.8,NA,NA,2008
"85","Raigadh","Alibag","January",1.7,NA,NA,2008
"86","Raigadh","Alibag","February",2,NA,NA,2008
"87","Raigadh","Alibag","March",0.2,0,0,2008
"88","Raigadh","Alibag","April",1.8,NA,NA,2008
"89","Raigadh","Alibag","May",17,NA,NA,2008
"90","Raigadh","Alibag","June",540.8,765.6,19,2008
"91","Raigadh","Alibag","July",723,881.4,16,2008
"92","Raigadh","Alibag","August",479.4,393.2,18,2008
"93","Raigadh","Alibag","September",313.1,272.4,12,2008
"94","Raigadh","Alibag","October",74.8,130.8,4,2008
"95","Raigadh","Alibag","November",20.4,0,0,2008
"96","Raigadh","Alibag","December",3,NA,NA,2008
"97","Raigadh","Panwel","January",0.9,NA,NA,2008
"98","Raigadh","Panwel","February",0.8,NA,NA,2008
"99","Raigadh","Panwel","March",0.5,0,0,2008
"100","Raigadh","Panwel","April",1.8,NA,NA,2008
"101","Raigadh","Panwel","May",15.9,NA,NA,2008
"102","Raigadh","Panwel","June",567.5,662.5,18,2008
"103","Raigadh","Panwel","July",1128.9,923.3,22,2008
"104","Raigadh","Panwel","August",790.4,899.8,21,2008
"105","Raigadh","Panwel","September",402,446.2,16,2008
"106","Raigadh","Panwel","October",94.5,58.8,5,2008
"107","Raigadh","Panwel","November",15.3,0,0,2008
"108","Raigadh","Panwel","December",2.5,NA,NA,2008
"109","Raigadh","Karjat","January",1.1,NA,NA,2008
"110","Raigadh","Karjat","February",0.5,NA,NA,2008
"111","Raigadh","Karjat","March",1.6,0,0,2008
"112","Raigadh","Karjat","April",2.8,NA,NA,2008
"113","Raigadh","Karjat","May",19.3,NA,NA,2008
"114","Raigadh","Karjat","June",548.7,523.5,18,2008
"115","Raigadh","Karjat","July",1378.2,891.4,26,2008
"116","Raigadh","Karjat","August",937.6,1329.8,21,2008
"117","Raigadh","Karjat","September",436,614.6,19,2008
"118","Raigadh","Karjat","October",131.4,130.6,7,2008
"119","Raigadh","Karjat","November",19.9,0,0,2008
"120","Raigadh","Karjat","December",2.4,NA,NA,2008
"121","Raigadh","Khalapur","January",0.1,NA,NA,2008
"122","Raigadh","Khalapur","February",0.1,NA,NA,2008
"123","Raigadh","Khalapur","March",0.1,0,0,2008
"124","Raigadh","Khalapur","April",1.5,NA,NA,2008
"125","Raigadh","Khalapur","May",26.5,NA,NA,2008
"126","Raigadh","Khalapur","June",563.4,534.6,19,2008
"127","Raigadh","Khalapur","July",1302.2,791.2,24,2008
"128","Raigadh","Khalapur","August",1026.1,1038.9,20,2008
"129","Raigadh","Khalapur","September",458.5,659.8,19,2008
"130","Raigadh","Khalapur","October",142,181.2,6,2008
"131","Raigadh","Khalapur","November",7.8,0,0,2008
"132","Raigadh","Khalapur","December",8,NA,NA,2008
"133","Raigadh","Uran","January",1.6,NA,NA,2008
"134","Raigadh","Uran","February",1.7,NA,NA,2008
"135","Raigadh","Uran","March",1,0,0,2008
"136","Raigadh","Uran","April",1.1,NA,NA,2008
"137","Raigadh","Uran","May",14.8,NA,NA,2008
"138","Raigadh","Uran","June",524.2,702,13,2008
"139","Raigadh","Uran","July",762.4,943,20,2008
"140","Raigadh","Uran","August",486.6,427.8,21,2008
"141","Raigadh","Uran","September",306.3,243,12,2008
"142","Raigadh","Uran","October",71.7,12,2,2008
"143","Raigadh","Uran","November",11.7,0,0,2008
"144","Raigadh","Uran","December",1.6,NA,NA,2008
"145","Raigadh","Sudhagad","January",0.1,NA,NA,2008
"146","Raigadh","Sudhagad","February",0.1,NA,NA,2008
"147","Raigadh","Sudhagad","March",0.1,0,0,2008
"148","Raigadh","Sudhagad","April",2.3,NA,NA,2008
"149","Raigadh","Sudhagad","May",27.7,NA,NA,2008
"150","Raigadh","Sudhagad","June",735.6,943,23,2008
"151","Raigadh","Sudhagad","July",1484,1169,24,2008
"152","Raigadh","Sudhagad","August",1067.7,1122,24,2008
"153","Raigadh","Sudhagad","September",452.1,520,16,2008
"154","Raigadh","Sudhagad","October",105.5,93,5,2008
"155","Raigadh","Sudhagad","November",14.6,0,0,2008
"156","Raigadh","Sudhagad","December",6.6,NA,NA,2008
"157","Raigadh","Pen","January",1.2,NA,NA,2008
"158","Raigadh","Pen","February",1,NA,NA,2008
"159","Raigadh","Pen","March",0.5,0,0,2008
