"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,0,0,1999
"2","Thane","Thane","February",1,0,0,1999
"3","Thane","Thane","March",1.1,0,0,1999
"4","Thane","Thane","April",1.7,0,0,1999
"5","Thane","Thane","May",21.4,0,0,1999
"6","Thane","Thane","June",534.8,590.9,21,1999
"7","Thane","Thane","July",961.6,845.5,24,1999
"8","Thane","Thane","August",637.2,290.4,20,1999
"9","Thane","Thane","September",334.4,298.3,21,1999
"10","Thane","Thane","October",101.1,175.2,7,1999
"11","Thane","Thane","November",15.1,0,0,1999
"12","Thane","Thane","December",2.4,0,0,1999
"13","Thane","Kalyan","January",1.7,0,0,1999
"14","Thane","Kalyan","February",1.2,0,0,1999
"15","Thane","Kalyan","March",0.4,0,0,1999
"16","Thane","Kalyan","April",1.3,0,0,1999
"17","Thane","Kalyan","May",13.2,0,0,1999
"18","Thane","Kalyan","June",476.8,656,19,1999
"19","Thane","Kalyan","July",1023.4,988,24,1999
"20","Thane","Kalyan","August",652.7,260,19,1999
"21","Thane","Kalyan","September",301.7,322,17,1999
"22","Thane","Kalyan","October",90.6,158,7,1999
"23","Thane","Kalyan","November",16.3,0,0,1999
"24","Thane","Kalyan","December",2.8,0,0,1999
"25","Thane","Murbad","January",2.1,0,0,1999
"26","Thane","Murbad","February",0.8,0,0,1999
"27","Thane","Murbad","March",0.9,0,0,1999
"28","Thane","Murbad","April",3.5,0,0,1999
"29","Thane","Murbad","May",17.8,0,0,1999
"30","Thane","Murbad","June",378.3,502,14,1999
"31","Thane","Murbad","July",968.9,556.2,23,1999
"32","Thane","Murbad","August",634.3,183,18,1999
"33","Thane","Murbad","September",347.1,333.4,20,1999
"34","Thane","Murbad","October",103.2,228,9,1999
"35","Thane","Murbad","November",20.3,0,0,1999
"36","Thane","Murbad","December",3.2,0,0,1999
"37","Thane","Bhivandi","January",2.6,0,0,1999
"38","Thane","Bhivandi","February",1.2,0,0,1999
"39","Thane","Bhivandi","March",0.9,0,0,1999
"40","Thane","Bhivandi","April",1.4,0,0,1999
"41","Thane","Bhivandi","May",18.7,0,0,1999
"42","Thane","Bhivandi","June",471.7,517,15,1999
"43","Thane","Bhivandi","July",965.8,740,25,1999
"44","Thane","Bhivandi","August",646.4,192,15,1999
"45","Thane","Bhivandi","September",337.6,280,20,1999
"46","Thane","Bhivandi","October",94.8,208,8,1999
"47","Thane","Bhivandi","November",10.7,0,0,1999
"48","Thane","Bhivandi","December",2.3,0,0,1999
"49","Thane","Shahapur","January",2.5,0,0,1999
"50","Thane","Shahapur","February",1,0,0,1999
"51","Thane","Shahapur","March",1.9,0,0,1999
"52","Thane","Shahapur","April",1.7,0,0,1999
"53","Thane","Shahapur","May",18.2,0,0,1999
"54","Thane","Shahapur","June",412.7,510,12,1999
"55","Thane","Shahapur","July",1102.4,775.3,27,1999
"56","Thane","Shahapur","August",703.2,177,16,1999
"57","Thane","Shahapur","September",338.1,338,14,1999
"58","Thane","Shahapur","October",95.2,250,12,1999
"59","Thane","Shahapur","November",15.8,0,0,1999
"60","Thane","Shahapur","December",2.9,0,0,1999
"61","Thane","Ulhasnagar","January",1.7,0,0,1999
"62","Thane","Ulhasnagar","February",1.2,0,0,1999
"63","Thane","Ulhasnagar","March",0.4,0,0,1999
