"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,NA,NA,2010
"2","Thane","Thane","February",1,NA,NA,2010
"3","Thane","Thane","March",1.1,NA,NA,2010
"4","Thane","Thane","April",1.7,NA,NA,2010
"5","Thane","Thane","May",21.4,0,0,2010
"6","Thane","Thane","June",534.8,616.6,17,2010
"7","Thane","Thane","July",961.6,1137.2,30,2010
"8","Thane","Thane","August",637.2,1027.4,27,2010
"9","Thane","Thane","September",334.4,399,15,2010
"10","Thane","Thane","October",101.1,125,7,2010
"11","Thane","Thane","November",15.1,122,6,2010
"12","Thane","Thane","December",2.4,NA,NA,2010
"13","Thane","Kalyan","January",1.7,NA,NA,2010
"14","Thane","Kalyan","February",1.2,NA,NA,2010
"15","Thane","Kalyan","March",0.4,NA,NA,2010
"16","Thane","Kalyan","April",1.3,NA,NA,2010
"17","Thane","Kalyan","May",13.2,0,0,2010
"18","Thane","Kalyan","June",476.8,438,16,2010
"19","Thane","Kalyan","July",1023.4,1082,29,2010
"20","Thane","Kalyan","August",652.7,1074,26,2010
"21","Thane","Kalyan","September",301.7,473,13,2010
"22","Thane","Kalyan","October",90.6,43,4,2010
"23","Thane","Kalyan","November",16.3,116,5,2010
"24","Thane","Kalyan","December",2.8,NA,NA,2010
"25","Thane","Murbad","January",2.1,NA,NA,2010
"26","Thane","Murbad","February",0.8,NA,NA,2010
"27","Thane","Murbad","March",0.9,NA,NA,2010
"28","Thane","Murbad","April",3.5,NA,NA,2010
"29","Thane","Murbad","May",17.8,0,0,2010
"30","Thane","Murbad","June",378.3,365.6,17,2010
"31","Thane","Murbad","July",968.9,791,27,2010
"32","Thane","Murbad","August",634.3,703.1,25,2010
"33","Thane","Murbad","September",347.1,485.5,16,2010
"34","Thane","Murbad","October",103.2,42.4,6,2010
"35","Thane","Murbad","November",20.3,31.7,4,2010
"36","Thane","Murbad","December",3.2,NA,NA,2010
"37","Thane","Bhivandi","January",2.6,NA,NA,2010
"38","Thane","Bhivandi","February",1.2,NA,NA,2010
"39","Thane","Bhivandi","March",0.9,NA,NA,2010
"40","Thane","Bhivandi","April",1.4,NA,NA,2010
"41","Thane","Bhivandi","May",18.7,0,0,2010
"42","Thane","Bhivandi","June",471.7,400.2,16,2010
"43","Thane","Bhivandi","July",965.8,994.8,29,2010
"44","Thane","Bhivandi","August",646.4,866,28,2010
"45","Thane","Bhivandi","September",337.6,391,13,2010
"46","Thane","Bhivandi","October",94.8,70,6,2010
"47","Thane","Bhivandi","November",10.7,40,3,2010
"48","Thane","Bhivandi","December",2.3,NA,NA,2010
"49","Thane","Shahapur","January",2.5,NA,NA,2010
"50","Thane","Shahapur","February",1,NA,NA,2010
"51","Thane","Shahapur","March",1.9,NA,NA,2010
"52","Thane","Shahapur","April",1.7,NA,NA,2010
"53","Thane","Shahapur","May",18.2,0,0,2010
"54","Thane","Shahapur","June",412.7,311.1,15,2010
